HMDB	KEGG
HMDB0000714	C01586
HMDB0000715	C01717
HMDB0000716	C00408
HMDB0000717	C17658
HMDB0000718	C08262
HMDB0000719	C00263
HMDB0000722	C02592
HMDB0000725	C01157
HMDB0000731	C05824
HMDB0000732	C02794
HMDB0000735	C05596
HMDB0000738	C00463
HMDB0000740	C07064
HMDB0000742	C00155
HMDB0000745	C00884
HMDB0000748	C05607
HMDB0000749	C01732
HMDB0000751	C00312
HMDB0000755	C03672
HMDB0000757	C00182
HMDB0000759	C02155
HMDB0000761	C03990
HMDB0000763	C05635
HMDB0000764	C05629
HMDB0000765	C00392
HMDB0000767	C02067
HMDB0000770	C01808
HMDB0000772	C16535
HMDB0000773	C19909
HMDB0000779	C01479
HMDB0000781	C16265
HMDB0000784	C08261
HMDB0000785	C04016
HMDB0000786	C07599
HMDB0000788	C01103
HMDB0000791	C02838
HMDB0000792	C08277
HMDB0000796	C04015
HMDB0000797	C04823
HMDB0000801	C01607
HMDB0000802	C00715
HMDB0000803	C03878
HMDB0000806	C06424
HMDB0000807	C00597
HMDB0000809	C01808
HMDB0000811	C15515
HMDB0000812	C01042
HMDB0000814	C04132
HMDB0000816	C00988
HMDB0000819	C05589
HMDB0000820	C05979
HMDB0000821	C05598
HMDB0000822	C11527
HMDB0000824	C03017
HMDB0000826	C16537
HMDB0000827	C01530
HMDB0000828	C00438
HMDB0000830	C06469
HMDB0000833	C03410
HMDB0000840	C07588
HMDB0000842	C06325
HMDB0000847	C01601
HMDB0000849	C00507
HMDB0000852	C01753
HMDB0000853	C05021
HMDB0000854	C00439
HMDB0000855	C03150
HMDB0000856	C15532
HMDB0000857	C02656
HMDB0000863	C01845
HMDB0000866	C01657
HMDB0000867	C01685
HMDB0000868	C00231
HMDB0000870	C00388
HMDB0000871	C03238
HMDB0000873	C06730
HMDB0000875	C01004
HMDB0000876	C05443
HMDB0000878	C01694
HMDB0000879	C13713
HMDB0000881	C02470
HMDB0000883	C00183
HMDB0000885	C11251
HMDB0000887	C06767
HMDB0000892	C00803
HMDB0000893	C08278
HMDB0000895	C01996
HMDB0000896	C05463
HMDB0000897	C02242
HMDB0000898	C05127
HMDB0000899	C00674
HMDB0000900	C05441
HMDB0000902	C00003
HMDB0000904	C00327
HMDB0000905	C00360
HMDB0000906	C00565
HMDB0000910	C17076
HMDB0000916	C02469
HMDB0000917	C17644
HMDB0000918	C14641
HMDB0000920	C03747
HMDB0000921	C00599
HMDB0000925	C01104
HMDB0000926	C00747
HMDB0000929	C00078
HMDB0000930	C10438
HMDB0000933	C16308
HMDB0000934	C04426
HMDB0000935	C00167
HMDB0000936	C05767
HMDB0000937	C05442
HMDB0000939	C00021
HMDB0000941	C05416
HMDB0000943	C01620
HMDB0000944	C08281
HMDB0000946	C07880
HMDB0000947	C17715
HMDB0000949	C05465
HMDB0000951	C05465
HMDB0000954	C01494
HMDB0000955	C10470
HMDB0000956	C00898
HMDB0000957	C15571
HMDB0000958	C02341
HMDB0000960	C00361
HMDB0000961	C00448
HMDB0000962	C00248
HMDB0000963	C04188
HMDB0000965	C00519
HMDB0000968	C01220
HMDB0000972	C00234
HMDB0000975	C01083
HMDB0000977	C05313
HMDB0000978	C01252
HMDB0000980	C04895
HMDB0000985	C00579
HMDB0000988	C01137
HMDB0000990	C00084
HMDB0000992	C19569
HMDB0000994	C03862
HMDB0000995	C03207
HMDB0000996	C00606
HMDB0000998	C00458
HMDB0001000	C01346
HMDB0001003	C00224
HMDB0001005	C00603
HMDB0001008	C00500
HMDB0001011	C03460
HMDB0001013	C00190
HMDB0001014	C03680
HMDB0001015	C03145
HMDB0001016	C03492
HMDB0001018	C00190
HMDB0001020	C02846
HMDB0001021	C04348
HMDB0001022	C00091
HMDB0001023	C11455
HMDB0001024	C03232
HMDB0001030	C05403
HMDB0001031	C00673
HMDB0001032	C04555
HMDB0001035	C02135
HMDB0001036	C15848
HMDB0001038	C15849
HMDB0001039	C01328
HMDB0001041	C15980
HMDB0001043	C00219
HMDB0001044	C00362
HMDB0001047	C00665
HMDB0001049	C00669
HMDB0001050	C19697
HMDB0001051	C02154
HMDB0001052	C06000
HMDB0001054	C01246
HMDB0001056	C00415
HMDB0001057	C03231
HMDB0001058	C05378
HMDB0001059	C01272
HMDB0001062	C00357
HMDB0001063	C05200
HMDB0001064	C02050
HMDB0001065	C02735
HMDB0001066	C03451
HMDB0001067	C12270
HMDB0001068	C05382
HMDB0001070	C01944
HMDB0001072	C11378
HMDB0001076	C01094
HMDB0001078	C00275
HMDB0001080	C02903
HMDB0001081	C04886
HMDB0001084	C04092
HMDB0001085	C02165
HMDB0001086	C01051
HMDB0001087	C03089
HMDB0001090	C01143
HMDB0001091	C07344
HMDB0001094	C04146
HMDB0001095	C00325
HMDB0001096	C00169
HMDB0001097	C01079
HMDB0001101	C02519
HMDB0001104	C01239
HMDB0001106	C05665
HMDB0001112	C00118
HMDB0001113	C02939
HMDB0001114	C00412
HMDB0001117	C04352
HMDB0001119	C19579
HMDB0001120	C00235
HMDB0001121	C04257
HMDB0001122	C11489
HMDB0001123	C00108
HMDB0001124	C00689
HMDB0001125	C04299
HMDB0001126	C06524
HMDB0001127	C01236
HMDB0001128	C03090
HMDB0001129	C00645
HMDB0001131	C05840
HMDB0001132	C01185
HMDB0001134	C00053
HMDB0001137	C01024
HMDB0001138	C00624
HMDB0001139	C00639
HMDB0001140	C01545
HMDB0001142	C01847
HMDB0001143	C01243
HMDB0001147	C00872
HMDB0001149	C00430
HMDB0001151	C01487
HMDB0001155	C06197
HMDB0001157	C03344
HMDB0001161	C01181
HMDB0001162	C15672
HMDB0001163	C00096
HMDB0001164	C04221
HMDB0001165	C00573
HMDB0001166	C03561
HMDB0001167	C00546
HMDB0001169	C02372
HMDB0001170	C01189
HMDB0001172	C00349
HMDB0001173	C00170
HMDB0001175	C03188
HMDB0001176	C00128
HMDB0001177	C01169
HMDB0001178	C00301
HMDB0001179	C00857
HMDB0001180	C05932
HMDB0001181	C15808
HMDB0001183	C00756
HMDB0001185	C00019
HMDB0001186	C02567
HMDB0001187	C04477
HMDB0001188	C01054
HMDB0001190	C00637
HMDB0001191	C00460
HMDB0001193	C05356
HMDB0001195	C03684
HMDB0001196	C04537
HMDB0001197	C01352
HMDB0001198	C02166
HMDB0001199	C03415
HMDB0001200	C02406
HMDB0001201	C00035
HMDB0001202	C00239
HMDB0001206	C00024
HMDB0001209	C00499
HMDB0001211	C01260
HMDB0001212	C05565
HMDB0001213	C11437
HMDB0001216	C05650
HMDB0001217	C05103
HMDB0001218	C05851
HMDB0001219	C02817
HMDB0001220	C00584
HMDB0001227	C00364
HMDB0001228	C03287
HMDB0001229	C00822
HMDB0001231	C05446
HMDB0001232	C00870
HMDB0001235	C03373
HMDB0001238	C00978
HMDB0001240	C20361
HMDB0001241	C02220
HMDB0001242	C01943
HMDB0001243	C00630
HMDB0001245	C00705
HMDB0001247	C06264
HMDB0001248	C00016
HMDB0001250	C07565
HMDB0001251	C01724
HMDB0001252	C00576
HMDB0001253	C04185
HMDB0001254	C00352
HMDB0001256	C00750
HMDB0001257	C00315
HMDB0001259	C00232
HMDB0001261	C03263
HMDB0001262	C01835
HMDB0001263	C04076
HMDB0001264	C05422
HMDB0001265	C02985
HMDB0001266	C08356
HMDB0001268	C01061
HMDB0001269	C00683
HMDB0001270	C00236
HMDB0001271	C01168
HMDB0001273	C00044
HMDB0001274	C00363
HMDB0001275	C00100
HMDB0001276	C00612
HMDB0001278	C03428
HMDB0001280	C03824
HMDB0001282	C20190
HMDB0001285	C05847
HMDB0001286	C05108
HMDB0001290	C02411
HMDB0001292	C06257
HMDB0001294	C01159
HMDB0001295	C07343
HMDB0001296	C02052
HMDB0001299	C04582
HMDB0001301	C03912
HMDB0001302	C00150
HMDB0001304	C00390
HMDB0001308	C04376
HMDB0001310	C00133
HMDB0001311	C00256
HMDB0001313	C03546
HMDB0001314	C00942
HMDB0001315	C06262
HMDB0001316	C00345
HMDB0001318	C02373
HMDB0001319	C00627
HMDB0001320	C04654
HMDB0001321	C00279
HMDB0001322	C00510
HMDB0001325	C03793
HMDB0001327	C17061
HMDB0001328	C00842
HMDB0001330	C04409
HMDB0001333	C19610
HMDB0001335	C01312
HMDB0001336	C01161
HMDB0001337	C00909
HMDB0001338	C00154
HMDB0001339	C00527
HMDB0001340	C01261
HMDB0001341	C00008
HMDB0001342	C00459
HMDB0001343	C01107
HMDB0001345	C01149
HMDB0001346	C01222
HMDB0001347	C00129
HMDB0001349	C01529
HMDB0001351	C00672
HMDB0001352	C00168
HMDB0001353	C01216
HMDB0001354	C00445
HMDB0001355	C06604
HMDB0001356	C04405
HMDB0001358	C00376
HMDB0001359	C02060
HMDB0001361	C00237
HMDB0001362	C00282
HMDB0001364	C03483
HMDB0001366	C15587
HMDB0001367	C04256
HMDB0001368	C00957
HMDB0001369	C04281
HMDB0001370	C00666
HMDB0001371	C00697
HMDB0001372	C00068
HMDB0001373	C00882
HMDB0001374	C01794
HMDB0001375	C00356
HMDB0001376	C04442
HMDB0001377	C00007
HMDB0001381	C00427
HMDB0001382	C07457
HMDB0001383	C01120
HMDB0001385	C05394
HMDB0001387	C03711
HMDB0001388	C06427
HMDB0001389	C01598
HMDB0001391	C14830  
HMDB0001392	C00568
HMDB0001394	C00374
HMDB0001396	C00440
HMDB0001397	C00144
HMDB0001398	C15572
HMDB0001399	C11907
HMDB0001401	C00092
HMDB0001403	C00696
HMDB0001405	C05527
HMDB0001406	C00153
HMDB0001409	C00365
HMDB0001410	C05255
HMDB0001412	C00921
HMDB0001413	C00307
HMDB0001414	C00134
HMDB0001416	C01134
HMDB0001419	C13550
HMDB0001422	C01259
HMDB0001423	C00010
HMDB0001425	C02538
HMDB0001426	C00067
HMDB0001429	C00009
HMDB0001430	C01693
HMDB0001431	C00534
HMDB0001432	C00179
HMDB0001439	C04734
HMDB0001440	C00286
HMDB0001441	C05649
HMDB0001442	C04741
HMDB0001445	C04500
HMDB0001448	C00059
HMDB0001449	C13712
HMDB0001451	C16241
HMDB0001452	C02198
HMDB0001455	C15484
HMDB0001457	C05454
HMDB0001460	C06607
HMDB0001466	C01183
HMDB0001469	C03543
HMDB0001470	C08279
HMDB0001471	C11825
HMDB0001473	C00111
HMDB0001476	C00632
HMDB0001480	C02934
HMDB0001481	C01075
HMDB0001483	C02314
HMDB0001484	C00332
HMDB0001485	C01387
HMDB0001487	C00004
HMDB0001488	C00253
HMDB0001489	C00620
HMDB0001490	C05594
HMDB0001491	C00018
HMDB0001492	C02483
HMDB0001493	C03069
HMDB0001494	C00227
HMDB0001495	C01449
HMDB0001496	C03594
HMDB0001498	C01245
HMDB0001499	C03117
HMDB0001504	C06605
HMDB0001505	C01407
HMDB0001508	C00206
HMDB0001509	C04853
HMDB0001510	C06860
HMDB0001511	C02305
HMDB0001512	C03028
HMDB0001513	C00621
HMDB0001514	C00329
HMDB0001517	C04677
HMDB0001520	C00061
HMDB0001521	C02593
HMDB0001522	C02294
HMDB0001525	C01589
HMDB0001526	C01136
HMDB0001527	C08276
HMDB0001530	C00644
HMDB0001532	C00131
HMDB0001533	C00143
HMDB0001534	C00664
HMDB0001536	C00488
HMDB0001539	C03626
HMDB0001542	C00611
HMDB0001545	C00250
HMDB0001546	C00112
HMDB0001547	C02140
HMDB0001548	C03736
HMDB0001550	C01031
HMDB0001551	C00517
HMDB0001552	C00940
HMDB0001553	C01180
HMDB0001554	C00655
HMDB0001555	C00647
HMDB0001557	C01007
HMDB0001562	C03479
HMDB0001563	C04545
HMDB0001564	C00570
HMDB0001565	C00588
HMDB0001566	C02230
HMDB0001569	C12978
HMDB0001570	C00364
HMDB0001586	C00103
HMDB0001587	C02137
HMDB0001644	C00310
HMDB0001645	C01933
HMDB0001659	C00207
HMDB0001713	C12621
HMDB0001721	C01005
HMDB0001830	C00410
HMDB0001833	D02527
HMDB0001842	C17349
HMDB0001846	C00101
HMDB0001847	C07481
HMDB0001848	C07049
HMDB0001849	C07407
HMDB0001850	C07188
HMDB0001851	C00532
HMDB0001852	C00777
HMDB0001856	C00230
HMDB0001858	C01468
HMDB0001859	C06804
HMDB0001860	C13747
HMDB0001864	C00902
HMDB0001865	C06255
HMDB0001866	C05580
HMDB0001867	D06890 
HMDB0001870	C00539
HMDB0001871	C09727
HMDB0001873	C02632
HMDB0001874	C00451
HMDB0001875	C00132
HMDB0001877	C07185
HMDB0001878	C09908
HMDB0001879	C01405
HMDB0001881	C02912
HMDB0001882	C00184
HMDB0001886	C16357
HMDB0001888	C03134
HMDB0001889	C07130
HMDB0001890	C06809
HMDB0001892	C05377
HMDB0001893	C02477
HMDB0001894	C11045
HMDB0001895	C00805
HMDB0001898	C05790
HMDB0001900	C02674
HMDB0001901	C02378
HMDB0001903	C01673
HMDB0001906	C03665
HMDB0001913	C07324
HMDB0001915	C07752
HMDB0001917	C06956
HMDB0001920	C06947
HMDB0001921	C07151
HMDB0001922	C06922
HMDB0001923	C01517
HMDB0001924	C13235
HMDB0001925	C01588
HMDB0001926	C07534
HMDB0001927	C06960
HMDB0001928	C07041
HMDB0001929	C07660
HMDB0001932	C07202
HMDB0001933	C07017
HMDB0001934	C00745
HMDB0001935	C01541
HMDB0001937	C11770
HMDB0001938	D00362
HMDB0001939	C07119
HMDB0001940	D00386
HMDB0001941	C06857
HMDB0001942	C02343
HMDB0001943	C02765
HMDB0001944	C06905
HMDB0001964	C01481
HMDB0001965	C14811
HMDB0001967	C00011
HMDB0001977	C14809
HMDB0001978	C01956
HMDB0001980	C00840
HMDB0001982	C16360
HMDB0001983	C05198
HMDB0001989	C00753
HMDB0001991	C16353
HMDB0001993	C05455
HMDB0001999	C06428
HMDB0002000	C08322
HMDB0002003	C08320
HMDB0002004	C08309
HMDB0002005	C02989
HMDB0002006	C03401
HMDB0002009	C00877
HMDB0002012	C00399
HMDB0002013	C02862
HMDB0002017	C02455
HMDB0002019	C01389
HMDB0002022	C03838
HMDB0002024	C02835
HMDB0002031	C05100
HMDB0002032	C20155
HMDB0002035	C00811
HMDB0002036	C01485
HMDB0002038	C02728
HMDB0002039	C11118
HMDB0002048	C01467
HMDB0002050	C00975
HMDB0002052	C01036
HMDB0002054	C03345
HMDB0002055	C01542
HMDB0002057	C07297
HMDB0002059	C08317
HMDB0002061	C00518
HMDB0002064	C02714
HMDB0002065	C04244
HMDB0002068	C08316
HMDB0002070	C01127
HMDB0002077	C01486
HMDB0002078	C01417
HMDB0002084	C00177
HMDB0002085	C10833
HMDB0002092	C00490
HMDB0002096	C11284
HMDB0002099	C08434
HMDB0002100	C16512
HMDB0002103	C06340
HMDB0002104	C01165
HMDB0002107	C01606
HMDB0002111	C00001
HMDB0002113	C04397
HMDB0002117	C19670
HMDB0002121	C09069
HMDB0002122	C06476
HMDB0002123	C16361
HMDB0002124	C01477
HMDB0002127	C05823
HMDB0002134	C01888
HMDB0002140	D01211
HMDB0002151	C11143
HMDB0002152	C02110
HMDB0002158	C05768
HMDB0002166	C03284
HMDB0002168	C00704
HMDB0002170	C05989
HMDB0002172	C03413
HMDB0002174	C05776
HMDB0002175	C06263
HMDB0002176	C18319
HMDB0002178	C05448
HMDB0002179	C16845
HMDB0002181	C05413
HMDB0002182	C07441
HMDB0002183	C06429
HMDB0002189	C01029
HMDB0002190	C14768
HMDB0002196	C15471
HMDB0002197	C05457
HMDB0002199	C01744
HMDB0002200	C05952
HMDB0002204	C08580
HMDB0002205	C16511
HMDB0002209	C14131
HMDB0002211	C05766
HMDB0002212	C06425
HMDB0002214	C06577
HMDB0002215	C00268
HMDB0002217	C06002
HMDB0002224	C03592
HMDB0002226	C16527
HMDB0002227	C06866
HMDB0002231	C16526
HMDB0002232	C14769
HMDB0002234	C04282
HMDB0002243	C10164
HMDB0002252	C00512
HMDB0002255	 C01213 
HMDB0002262	C02530
HMDB0002265	C14775
HMDB0002268	C15981
HMDB0002269	C10443
HMDB0002271	C20522
HMDB0002272	C05414
HMDB0002273	C05947
HMDB0002275	C04874
HMDB0002281	C15522
HMDB0002290	C06269
HMDB0002299	C01205
HMDB0002303	C00580
HMDB0002305	C04640
HMDB0002306	C01327
HMDB0002307	C00894
HMDB0002308	C08230
HMDB0002310	C00683
HMDB0002311	C14773
HMDB0002314	C14774
HMDB0002320	C05132
HMDB0002322	C01672
HMDB0002326	C10205
HMDB0002329	C00209
HMDB0002331	C05131
HMDB0002336	C08996
HMDB0002338	C00814
HMDB0002340	C07215
HMDB0002343	C14772
HMDB0002346	C00827
HMDB0002350	D01924
HMDB0002352	C09627
HMDB0002363	C13807
HMDB0002364	C17148
HMDB0002367	C17438
HMDB0002368	C08323
HMDB0002369	C15493
HMDB0002374	C08821
HMDB0002375	C10437
HMDB0002384	C01838
HMDB0002386	C06266
HMDB0002387	C16460
HMDB0002390	C14088
HMDB0002392	C16939
HMDB0002393	C12269
HMDB0002395	C08988
HMDB0002398	C08589
HMDB0002400	C13808
HMDB0002428	C06337
HMDB0002432	C20448
HMDB0002434	C00530
HMDB0002457	C19609
HMDB0002466	C00587
HMDB0002496	C01324
HMDB0002500	C01324
HMDB0002501	C15472
HMDB0002503	C06267
HMDB0002513	C03033
HMDB0002520	C02979
HMDB0002536	C17661
HMDB0002541	C03383
HMDB0002545	C08348
HMDB0002579	C03033
HMDB0002580	C03642
HMDB0002596	C03033
HMDB0002639	C11301
HMDB0002641	C01772
HMDB0002649	C01796
HMDB0002655	C10084
HMDB0002656	C04685
HMDB0002658	C01020
HMDB0002659	C06710
HMDB0002664	C06439
HMDB0002666	C01081
HMDB0002670	C00509
HMDB0002685	C06475
HMDB0002704	C06472
HMDB0002706	C00308
HMDB0002708	C05905
HMDB0002710	C05957
HMDB0002712	C07326
HMDB0002714	C01438
HMDB0002719	C01802
HMDB0002725	C07254
HMDB0002741	C08596
HMDB0002752	C05953
HMDB0002755	C10107
HMDB0002757	C00506
HMDB0002776	C04671
HMDB0002780	C06562
HMDB0002783	C13526
HMDB0002786	C00088
HMDB0002789	C06098
HMDB0002802	C00762
HMDB0002818	C07599
HMDB0002820	C05828
HMDB0002825	C07480
HMDB0002829	C11135
HMDB0002832	C17925
HMDB0002835	C06938
HMDB0002845	C05270
HMDB0002865	C00746
HMDB0002869	C01789
HMDB0002878	C00244
HMDB0002886	C05961
HMDB0002894	C02376
HMDB0002899	C10788
HMDB0002902	C14151
HMDB0002916	C02235
HMDB0002917	C00379
HMDB0002925	C03242
HMDB0002927	C09789
HMDB0002937	C10188
HMDB0002939	C19263
HMDB0002961	C03917
HMDB0002972	C05849
HMDB0002982	C00959
HMDB0002984	C14606
HMDB0002991	C01678
HMDB0002994	C00503
HMDB0002995	C02165
HMDB0003000	C05432
HMDB0003011	C00979
HMDB0003012	C00292
HMDB0003020	C08606
HMDB0003023	C03427
HMDB0003034	C13802
HMDB0003045	C05570
HMDB0003052	C00424
HMDB0003063	C15857
HMDB0003066	C15589
HMDB0003069	C04042
HMDB0003070	C00493
HMDB0003072	C00296
HMDB0003073	C06426
HMDB0003074	C05908
HMDB0003075	C15608
HMDB0003080	C05951
HMDB0003081	C02095
HMDB0003099	C16359
HMDB0003101	C08614
HMDB0003114	C05431
HMDB0003116	C07311
HMDB0003119	C03485
